LEVEL_3_CO,LEVEL_NAME,AREA_SQKM,TOTAL,RELATIVE,RICHNESS,RANGE_MEAN,RANGE_MEDIAN,ENDEMISM_T,ENDEMISM_R,BIEN_OCCUR,GDP_SUM,GDP_CAPITA,ROAD_DENSITY,POP_COUNT,POP_DENSITY,SECURITY,RESEARCH_EXP,EDUCATION_EXP
TUE,Turkey-in-Europe,23538.42,1434,0.829861111,1728,31.02,25,21,0.012,0.10,92.955258,9636.05,1216.08,9646617.15,409.82,2.588636364,0.839997,2.433307509
TUN,Tunisia,155772.82,1502,0.785564854,1912,24.5,17,47,0.025,0.43,59.530918,5637.58,133.88,10559653.39,67.79,1.957363636,0.664648889,6.38936998
TUR,Turkey,757569.44,3766,0.531545519,7085,10.98,2,2895,0.409,0.40,421.911218,6706.06,548.55,62914950.36,83.05,2.588636364,0.839997,2.433307509
TUV,Tuvalu,53.18,33,0.804878049,41,43.15,38,0,0,0.10,0.034786,1732.68,0.00,20076.41,377.50,NA,NA,3.730829954
TVA,Tuva,169430.34,1009,0.717128643,1407,26.85,14,21,0.015,0.03,0.534168,1711.32,35.81,312137.17,1.84,2.821090909,1.086097,3.690385385
TVL,Northern Provinces,337166.14,2441,0.572601454,4263,13.26,6,483,0.113,0.71,194.765852,8615.20,353.27,22607236.61,67.05,2.518,0.782624444,5.551352843
TZK,Tadzhikistan,142603.28,1324,0.488741233,2709,13.54,4,491,0.181,0.17,4.191024,607.57,114.57,6898008.47,48.37,2.190909091,0.104423,3.200013519
UGA,Uganda,243693.80,2211,0.590387183,3745,19.33,13,60,0.016,0.34,21.879188,690.55,97.28,31683826.03,130.01,2.435909091,0.331405,2.775089
UKR,Ukraine,605243.86,2008,0.735261809,2731,28.31,21,113,0.041,0.25,91.766434,1823.85,388.72,50314647.93,83.13,2.352956704,0.682200253,5.704666209
URU,Uruguay,178338.34,1179,0.565738964,2084,13.08,6,137,0.066,0.41,58.374614,17736.98,408.69,3291124.30,18.45,1.713545455,0.359947778,3.0670825
UTA,Utah,220099.45,1477,0.747091553,1977,19.91,9,162,0.082,0.75,168.457098,62294.29,187.86,2704214.27,12.29,2.299636364,2.754861,4.946395
UZB,Uzbekistan,447000.39,1122,0.507233273,2212,15.59,5,227,0.103,0.07,52.926556,2156.16,146.30,24546640.16,54.91,2.190272727,0.200503,6.968546
VAN,Vanuatu,12770.67,407,0.490952955,829,12.47,5,171,0.206,0.25,0.556984,2606.59,44.99,213683.42,16.73,NA,NA,6.571269082
VEN,Venezuela,916139.40,5376,0.403573305,13321,8.39,4,3001,0.225,0.66,324.611112,12767.05,134.93,25425690.99,27.75,2.392818182,0.231651111,4.723683333
VER,Vermont,24705.66,1205,0.889298893,1355,37.95,33,14,0.01,0.62,42.245192,61619.80,292.57,685578.17,27.75,2.299636364,2.754861,4.946395
VIC,Victoria,228291.55,1374,0.605286344,2270,6.58,3,261,0.115,0.80,247.569862,45490.90,278.78,5442184.42,23.84,1.495181818,2.226646,5.053002152
VIE,Vietnam,327338.00,4112,0.520967946,7893,10.01,5,1870,0.237,0.26,123.545082,1506.55,591.34,82005464.52,250.52,2.018909091,0.382925,5.026325714
VNA,Venezuelan Antilles,1410.13,496,0.731563422,678,28.24,22,5,0.007,0.24,4.591034,9805.11,481.92,468228.58,332.05,2.392818182,0.231651111,4.723683333
VRG,Virginia,104101.40,1573,0.851190476,1848,31.76,26,10,0.005,0.62,650.347342,80873.14,703.35,8041573.97,77.25,2.299636364,2.754861,4.946395
WAK,Wake I.,19.64,8,0.8,10,63.7,64,1,0.1,0.10,0,0.00,0.00,0.00,0.00,2.299636364,2.754861,4.946395
WAL,Wallis-Futuna Is.,167.37,129,0.648241206,199,30.4,14,2,0.01,0.03,0.605072,39475.45,223.24,15327.80,91.58,1.785090909,2.20872,5.557332007
WAS,Washington,174358.34,1448,0.857819905,1688,24.53,11,53,0.031,0.78,490.111236,72377.05,385.83,6771638.44,38.84,2.299636364,2.754861,4.946395
WAU,Western Australia,2538221.05,3068,0.433272137,7081,4,1,4842,0.684,0.85,138.242268,56470.77,59.49,2448032.10,0.96,1.495181818,2.226646,5.053002152
WDC,District of Columbia,160.25,655,0.896032832,731,42.11,35,0,0,0.70,152.068136,511638.09,11617.42,297218.17,1854.74,2.299636364,2.754861,4.946395
WHM,West Himalaya,294512.96,2213,0.600216979,3687,17.41,7,415,0.113,0.48,52.6802,1789.20,211.92,29443496.80,99.97,2.557545455,0.797028,3.625841551
WIN,Windward Is.,3826.36,1115,0.684889435,1628,23.76,18,103,0.063,0.46,23.16334,20396.19,2780.73,1135669.79,296.80,NA,NA,5.231119992
WIS,Wisconsin,169725.88,1179,0.906923077,1300,40.34,34,2,0.002,0.67,401.86112,54471.42,591.28,7377467.15,43.47,2.299636364,2.754861,4.946395
WSA,Western Sahara,270173.64,248,0.794871795,312,26.21,19,4,0.013,0.05,1.652422,3280.92,24.62,503645.31,1.86,1.943545455,0.71454,5.214622528
WSB,West Siberia,2455355.33,1371,0.773702032,1772,32.1,23,27,0.015,0.19,180.13673,9510.91,35.94,18940008.10,7.71,2.821090909,1.086097,3.690385385
WVA,West Virginia,62623.28,1125,0.891442155,1262,37.32,32,1,0.001,0.44,98.03616,54667.15,387.39,1793328.56,28.64,2.299636364,2.754861,4.946395
WYO,Wyoming,254505.35,1299,0.834296724,1557,26.25,14,28,0.018,0.65,50.59572,96328.69,70.59,525240.42,2.06,2.299636364,2.754861,4.946395
XMS,Christmas I.,124.75,136,0.751381215,181,36.99,25,16,0.088,0.36,0.01871,6939.34,196.23,2696.22,21.61,1.495181818,2.226646,5.053002152
YAK,Yakutskiya,3056458.30,922,0.742351047,1242,29.71,17,51,0.041,0.12,8.181174,9540.24,17.00,857544.11,0.28,2.821090909,1.086097,3.690385385
YEM,Yemen,422398.34,1057,0.666876972,1585,24.15,14,165,0.104,0.41,27.184544,1373.14,99.73,19797306.45,46.87,2.609818182,NA,8.011536667
YUG,Yugoslavia,255595.77,3113,0.72160408,4314,21.96,14,359,0.083,0.48,151.319644,6851.54,342.36,22085508.08,86.41,1.87834651,NA,NA
YUK,Yukon,1612850.86,730,0.907960199,804,34.4,22,9,0.011,0.86,7.010392,67674.32,4.18,103590.13,0.06,1.625090909,1.757034,5.107454558
ZAI,Za?Â»re,2342231.64,3113,0.402508404,7734,11.99,6,1175,0.152,0.54,12.838646,211.00,73.25,60847617.75,25.98,2.927909091,0.189043333,1.882876667
ZAM,Zambia,756412.37,2299,0.475196362,4838,14.3,8,287,0.059,0.33,10.80466,943.74,56.60,11448715.36,15.14,1.799363636,0.27819,1.745830019
ZIM,Zimbabwe,391925.46,2388,0.580034005,4117,16.1,9,174,0.042,0.31,8.75953,725.37,179.17,12076015.61,30.81,2.523090909,NA,4.93715
