LEVEL_3_CO,LEVEL_NAME,AREA_SQKM,TOTAL,RELATIVE,RICHNESS,RANGE_MEAN,RANGE_MEDIAN,ENDEMISM_T,ENDEMISM_R,BIEN_OCCUR,GDP_SUM,GDP_CAPITA,ROAD_DENSITY,POP_COUNT,POP_DENSITY,SECURITY,RESEARCH_EXP,EDUCATION_EXP
CHS,China Southeast,1430534.52,4729,0.625611853,7559,10,3,1871,0.248,0.54,3549.415846,5937.30,544.96,597816631.58,417.90,2.284727273,1.879240155,1.863379162
CHT,Tibet,1137215.61,2687,0.579219659,4639,10.02,4,777,0.167,0.35,7.349036,2559.63,46.09,2871137.51,2.52,2.284727273,1.880259,1.861919959
CHX,Xinjiang,1633329.24,1428,0.604828463,2361,17.81,7,266,0.113,0.27,79.685372,3891.66,62.10,20475944.84,12.54,2.284727273,1.880259,1.861919959
CKI,Cocos (Keeling) I.,28.91,48,0.857142857,56,66.5,51,0,0,0.43,0.016896,13309.33,0.00,1269.49,43.91,1.495181818,2.226646,5.053002152
CLC,Chile Central,186889.30,1287,0.515625,2496,5.94,2,808,0.324,0.69,165.142482,12619.29,323.45,13086507.56,70.02,1.968727273,0.36409,3.943262506
CLM,Colombia,1143180.87,7363,0.363299946,20267,6.37,3,6086,0.3,0.63,239.433704,5523.55,340.99,43347792.74,37.92,2.660727273,0.241528,4.28394651
CLN,Chile North,260769.64,796,0.555865922,1432,6.46,2,332,0.232,0.66,26.511662,21756.92,66.70,1218539.15,4.67,1.968727273,0.36409,3.943262506
CLS,Chile South,299274.66,701,0.617077465,1136,7.3,3,67,0.059,0.53,14.936322,11521.21,62.26,1296419.34,4.33,1.968727273,0.36409,3.943262506
CMN,Cameroon,467861.00,2609,0.461443226,5654,13.96,8,619,0.109,0.56,28.245966,1551.27,155.14,18208254.88,38.92,2.183454545,NA,2.772684706
CNT,Connecticut,12853.54,1109,0.894354839,1240,41.01,34,6,0.005,0.75,356.67362,102786.15,2390.79,3470055.22,269.97,2.299636364,2.754861,4.946395
CNY,Canary Is.,7548.96,1008,0.748329621,1347,20.77,5,583,0.433,0.69,47.475366,25597.13,1282.78,1854714.55,245.69,1.838909091,1.27476,4.344820015
COL,Colorado,270549.61,1749,0.79790146,2192,22,11,131,0.06,0.83,401.838642,84409.71,207.36,4760573.67,17.60,2.299636364,2.754861,4.946395
COM,Comoros,2186.92,399,0.572453372,697,20.56,6,175,0.251,0.34,8.870122,10960.92,363.63,809249.84,370.04,NA,NA,2.759411248
CON,Congo,346353.88,1584,0.500790389,3163,15.86,9,42,0.013,0.24,9.794348,2189.75,62.83,4472813.49,12.91,2.107,NA,3.629513776
COO,Cook Is.,202.43,141,0.629464286,224,28.81,15,23,0.103,0.28,0.219158,13287.24,289.53,16493.87,81.48,1.392090909,1.21692,6.417572093
COR,Corse,24165.00,1454,0.824730573,1763,31.83,25,78,0.044,0.55,40.244296,26404.06,611.78,1524170.47,63.07,1.785090909,2.20872,5.557332007
COS,Costa Rica,51388.86,4553,0.532390084,8552,10.5,6,1419,0.166,0.67,46.546898,11595.29,382.47,4014293.60,78.12,1.704181818,0.498785556,5.760565273
CPI,C. American Pacific Is.,32.25,132,0.790419162,167,36.27,25,28,0.168,0.54,0,0.00,0.00,0.00,0.00,1.756784365,0.819265349,5.664225752
CPP,Cape Provinces,663605.93,6248,0.494851893,12626,4.13,1,8670,0.687,0.79,93.326636,7500.86,231.43,12442124.32,18.75,2.518,0.782624444,5.551352843
CPV,Caprivi Strip,20202.88,314,0.707207207,444,24.78,13,0,0,0.54,0.54228,5536.36,72.75,97948.80,4.85,2.108272727,0.240805,NA
CRL,Caroline Is.,1289.97,346,0.485955056,712,18.52,6,268,0.376,0.30,0.642168,5531.19,15.82,116099.33,90.00,NA,NA,8.247162948
CRZ,Crozet Is.,353.45,13,0.684210526,19,12.37,11,0,0,0.89,0,0.00,0.00,0.00,0.00,1.785090909,2.20872,5.557332007
CTA,Chita,431069.69,933,0.762254902,1224,28.37,15,12,0.01,0.10,3.163786,2650.42,22.04,1193694.39,2.77,2.821090909,1.086097,3.690385385
CTM,Chatham Is.,705.63,208,0.781954887,266,9,4,39,0.147,0.57,0,0.00,0.00,486.36,0.69,1.392090909,1.21692,6.417572093
CUB,Cuba,110516.44,2146,0.429973953,4991,11.67,2,2404,0.482,0.50,189.484642,16516.72,542.24,11472289.97,103.81,2.059909091,0.452225556,10.02396463
CVI,Cape Verde,3545.34,335,0.786384977,426,44.58,35.5,65,0.153,0.21,1.538726,3618.78,554.50,425205.41,119.93,NA,0.07264,5.841076665
CYP,Cyprus,9279.53,849,0.793457944,1070,27.89,21,106,0.099,0.36,24.65577,24838.42,1223.13,992646.46,106.97,1.935181818,0.474984,6.149948747
CZE,Czechoslovakia,127560.02,1859,0.613126649,3032,25.12,16,257,0.085,0.50,216.982554,13731.65,967.28,15801635.02,123.88,1.637409308,1.306456104,4.096006228
DEL,Delaware,5075.94,958,0.878899083,1090,38.45,32,1,0.001,0.31,100.264508,129756.17,3057.64,772714.77,152.23,2.299636364,2.754861,4.946395
DEN,Denmark,42853.40,971,0.653432032,1486,34.8,29,52,0.035,0.76,328.671972,61227.48,1195.89,5368046.37,125.27,1.508636364,2.989818,8.029596673
DJI,Djibouti,21567.18,457,0.730031949,626,26.71,19,11,0.018,0.02,0.585996,828.03,263.09,707698.75,32.81,1.928181818,NA,8.123816989
DOM,Dominican Republic,48675.71,1485,0.515446026,2881,15.62,5,489,0.17,0.56,64.501958,7670.24,261.79,8409374.79,172.76,2.099909091,NA,1.81480333
DSV,Desventurados Is.,6.02,11,0.523809524,21,12.81,1,11,0.524,0.05,0,0.00,0.00,5243.58,870.89,1.968727273,0.36409,3.943262506
EAI,East Aegean Is.,6567.40,1231,0.760345893,1619,24.42,18,76,0.047,0.65,9.140866,22388.94,530.24,408275.92,62.17,2.056454545,0.801913,3.374982499
EAS,Easter Is.,189.68,22,0.733333333,30,42.57,31,5,0.167,0.20,0,0.00,0.00,4665.06,24.59,1.968727273,0.36409,3.943262506
ECU,Ecuador,249573.42,5684,0.378579992,15014,6.46,2,4722,0.315,0.56,48.281306,3540.74,321.15,13635935.25,54.64,2.225909091,0.360031429,3.837777999
EGY,Egypt,945618.61,1051,0.783743475,1341,28.6,20,17,0.013,0.26,285.589132,3805.91,53.15,75038347.13,79.35,2.281,0.548579,4.361367118
EHM,East Himalaya,133169.27,3078,0.581193353,5296,12.06,6,535,0.101,0.20,6.11329,1218.27,86.37,5018018.89,37.68,2.308312862,NA,4.292617737
ELS,El Salvador,20708.06,1819,0.663626414,2741,18.27,12,40,0.015,0.67,32.275892,5705.75,1395.11,5656732.39,273.17,2.177181818,0.091325556,3.588319441
EQG,Equatorial Guinea,25061.76,641,0.581142339,1103,18.38,10,27,0.024,0.44,7.147676,9846.54,100.09,725907.41,28.96,1.988,NA,2.187979937
ERI,Eritrea,121737.67,1004,0.679296346,1478,25.28,18,20,0.014,0.06,1.56666,455.17,60.44,3441919.47,28.27,2.282454545,NA,3.312791426
ETH,Ethiopia,1134755.56,2284,0.556259133,4106,17.37,10,460,0.112,0.40,32.537378,458.06,71.86,71032392.63,62.60,2.409454545,0.423055,4.467226007
FAL,Falkland Is.,11733.10,97,0.692857143,140,10.31,5,12,0.086,0.61,0.152782,51066.39,46.64,2991.83,0.25,1.942727273,1.661602,4.946111045
FIJ,Fiji,19424.57,588,0.414084507,1420,10.86,2,700,0.493,0.27,3.09455,3795.45,68.68,815330.63,41.97,NA,NA,5.22575462
FIN,Finland,334537.30,911,0.472755579,1927,26.75,14,368,0.191,0.50,275.32121,53449.05,288.39,5151096.00,15.40,1.573272727,3.294129,6.376735249
FLA,Florida,147116.66,1793,0.820219579,2186,24.88,17.5,155,0.071,0.68,1212.89756,66698.08,1471.18,18184894.31,123.61,2.299636364,2.754861,4.946395
FOR,F?Â©royar,1593.56,229,0.823741007,278,48.71,44,6,0.022,0.31,2.45227,44496.52,835.78,55111.51,34.58,NA,NA,NA
FRA,France,539403.98,3073,0.611177407,5028,19.54,10,409,0.081,0.63,2828.434674,45729.22,969.31,61851801.23,114.67,1.785090909,2.20872,5.557124642
FRG,French Guiana,84183.47,2414,0.596786156,4045,13.6,8,246,0.061,0.69,3.9363,18503.56,41.81,212731.99,2.53,1.785090909,2.20872,5.557332007
GAB,Gabon,262446.43,1843,0.465992415,3955,13.03,6,365,0.092,0.48,12.094698,7182.40,47.57,1683936.34,6.42,1.989909091,0.54507,3.137913752
GAL,Gal?Ã­pagos,7993.77,325,0.641025641,507,28.09,17,141,0.278,0.44,0.05141,2405.69,0.00,21370.20,2.67,2.225909091,0.360031429,3.837777999
GAM,Gambia. The,10779.96,440,0.708534622,621,38.18,29,1,0.002,0.09,1.314878,928.57,495.65,1416028.45,131.36,2.033545455,0.056983333,2.172400549
GEO,Georgia,152897.21,1748,0.82725982,2113,25.96,20,13,0.006,0.59,673.268898,73822.55,772.38,9120098.47,59.65,2.299636364,2.754861,4.946395
GER,Germany,357078.55,1925,0.560570763,3434,22.88,13,250,0.073,0.72,4006.756402,48615.61,1584.02,82417067.81,230.81,1.867909091,2.827884,4.689670789
GGI,Gulf of Guinea Is.,3214.74,935,0.600513809,1557,21.94,14,156,0.1,0.35,1.033206,2220.10,252.55,465386.58,144.77,NA,NA,3.27573506
GHA,Ghana,240579.28,1401,0.573475235,2443,23.07,16,22,0.009,0.71,16.47572,739.22,125.78,22288045.97,92.64,1.752090909,0.37655,5.59955626
GIL,Gilbert Is.,452.36,63,0.828947368,76,51.28,42.5,1,0.013,0.01,0.053676,678.47,0.00,79112.88,174.89,NA,NA,11.34833328
GNB,Guinea-Bissau,34178.15,676,0.61287398,1103,30.9,22,5,0.005,0.39,0.5009,347.16,419.01,1442856.52,42.22,2.357454545,NA,2.619680009
GNL,Greenland,2149453.61,321,0.851458886,377,39.48,31,12,0.032,0.68,2.4669,68126.28,0.00,36210.70,0.02,NA,NA,8.029596673
GRB,Great Britain,230664.79,1311,0.514925373,2546,24.14,12,485,0.19,0.63,3162.891194,55438.29,1087.51,57052468.86,247.34,1.942727273,1.661602,4.946111045
GRC,Greece,117136.81,2906,0.681200188,4266,19.63,11,735,0.172,0.71,282.705948,28343.27,665.71,9974357.92,85.15,2.056454545,0.801913,3.374982499
GST,Gulf States,82774.04,476,0.827826087,575,31.08,21,3,0.005,0.20,376.54384,67526.17,317.58,5576265.02,67.37,1.82831765,0.722356788,NA
GUA,Guatemala,109623.33,3704,0.550289704,6731,13.02,8,591,0.088,0.62,52.244172,4073.61,383.54,12825019.98,116.99,2.217545455,0.04387625,2.81825583
GUI,Guinea,246604.81,1263,0.53562341,2358,21.9,16,71,0.03,0.44,7.687808,897.24,413.15,8568274.22,34.74,2.154636364,NA,2.284147054
GUY,Guyana,212076.91,2812,0.535925291,5247,12.31,7,343,0.065,0.72,1.783732,2156.09,21.83,827299.72,3.90,2.082818182,NA,5.908411762
HAI,Haiti,27405.50,1298,0.481811433,2694,15.05,4,523,0.194,0.33,8.24287,944.71,711.68,8725296.79,318.38,1.959181818,NA,2.80341
HAW,Hawaii,16957.04,571,0.596656217,957,7.4,1,836,0.874,0.50,90.939944,71039.41,464.74,1280133.64,75.49,2.299636364,2.754861,4.946395
HBI,Howland-Baker Is.,4.95,6,0.75,8,41.5,30,0,0,0.13,0,0.00,0.00,0.00,0.00,2.299636364,2.754861,4.946395
HMD,Heard-McDonald Is.,401.88,9,0.9,10,6.5,5,0,0,1.00,0,0.00,0.00,0.00,0.00,1.495181818,2.226646,5.053002152
HON,Honduras,112819.10,3344,0.630467572,5304,15.58,10,184,0.035,0.62,16.667376,2324.92,141.23,7169010.92,63.54,2.333090909,0.01497,6.327168
HUN,Hungary,92942.87,1567,0.756639305,2071,31.98,27,90,0.043,0.41,117.12801,10965.73,628.68,10681277.21,114.92,1.747454545,1.237139,4.837986519
ICE,Iceland,102507.69,342,0.537735849,636,31.14,18.5,214,0.336,0.65,19.45067,65905.01,148.94,295131.90,2.88,1.276636364,2.227985,7.085287988
IDA,Idaho,216474.89,1337,0.824799506,1621,23.58,11,37,0.023,0.73,87.005132,59729.14,100.04,1456661.43,6.73,2.299636364,2.754861,4.946395
ILL,Illinois,150356.32,1671,0.867151012,1927,32.6,28,25,0.013,0.68,1037.657462,61703.96,893.51,16816707.72,111.85,2.299636364,2.754861,4.946395
IND,India,2681918.15,2708,0.468269064,5783,12.07,3,2238,0.387,0.25,1719.664548,1650.34,364.84,1042008085.37,388.53,2.557545455,0.797028,3.625841551
INI,Indiana,94883.80,1282,0.885970974,1447,37.34,31,5,0.003,0.59,442.756234,65184.57,730.56,6792347.36,71.59,2.299636364,2.754861,4.946395
IOW,Iowa,145369.31,1022,0.908444444,1125,40.3,34,1,0.001,0.57,212.21606,69263.35,362.99,3063901.00,21.08,2.299636364,2.754861,4.946395
IRE,Ireland,83837.42,828,0.688279302,1203,35.91,30,15,0.012,0.53,297.146586,49948.29,605.83,5949084.52,70.96,1.778909091,1.415054,4.743766503
IRK,Irkutsk,771626.67,1057,0.7653874,1381,30.5,18,20,0.014,0.20,11.936932,4740.89,27.96,2517866.83,3.26,2.821090909,1.086097,3.690385385
IRN,Iran,1628059.30,3343,0.559310691,5977,11.03,2,2354,0.394,0.38,325.798304,4265.79,93.30,76374694.87,46.91,2.272272727,0.350538,3.802175709
IRQ,Iraq,437460.18,1293,0.675195822,1915,18.69,7,140,0.073,0.24,45.548552,1586.30,322.05,28713617.04,65.64,3.303545455,0.03826375,NA
ITA,Italy,250858.22,3313,0.697033453,4753,20.97,13,549,0.116,0.64,1981.7644,38560.58,941.15,51393526.28,204.87,1.727454545,1.281893,4.319033328
IVO,Ivory Coast,323448.90,1573,0.524158614,3001,19.96,13,42,0.014,0.44,22.101718,1200.31,143.51,18413408.87,56.93,2.264272727,0.0928,4.303018633
JAM,Jamaica,11098.35,1380,0.551118211,2504,18.75,12,698,0.279,0.50,17.308366,6599.20,2226.44,2622798.99,236.32,2.098909091,NA,5.345942003
JAP,Japan,371234.96,2711,0.634003742,4276,12.4,3,1571,0.367,0.53,9542.606232,77808.13,1131.23,122642785.07,330.36,1.529545455,3.249755,3.488300625
JAW,Jawa,131602.88,2024,0.493538161,4101,12.89,6,734,0.179,0.21,274.44092,2122.76,440.02,129284742.41,982.39,1.835818182,0.161365,2.825423125
JNF,Juan Fern?Ã­ndez Is.,152.09,99,0.6,165,8.98,3,77,0.467,0.35,0,0.00,0.00,947.19,6.23,1.968727273,0.36409,3.943262506
KAM,Kamchatka,462810.35,655,0.800733496,818,30.54,17,31,0.038,0.44,1.50346,4900.64,15.84,306788.55,0.66,2.821090909,1.086097,3.690385385
